Point ID,Label,Annual_Precipitation,Distance_to_Nearest_Karst_Feature,Distance_to_Nearest_Water_body,Elevation_(m),Hydrualic_Head_Difference,IAS_Thickness,LULC,Overburden_Thickness,SAS_Thickness,Shear_Waves_Velocities,Slope,Surface_Geology,TPI
5423.0,1.0,1334.0,10068.5791,254.5712433,18.0,2.133599997,0.0,1000.0,18.60960007,20.60960007,231.7886658,0.618807316,7.0,2.310287476
5424.0,1.0,1316.0,16199.51563,430.0176086,24.0,2.43840003,0.0,2000.0,24.0,24.0,262.814209,1.31431222,7.0,6.450942516
5425.0,1.0,1284.0,16827.88672,94.70373535,30.0,2.43840003,61.56959915,6000.0,87.30239868,30.73279953,316.6074829,1.191210866,7.0,-4.078676224
5426.0,1.0,1264.0,5543.609863,425.1410522,41.0,-3.96239996,30.78479958,1000.0,45.87680054,16.09199905,263.8201904,1.435901761,3.0,0.777580261
5427.0,1.0,1316.0,11834.52734,149.7131958,28.0,6.705600262,0.0,1000.0,37.75360107,37.75360107,325.3782654,0.480866045,7.0,3.105394363
5428.0,1.0,1279.0,10707.23047,108.2613831,32.0,7.619999886,40.84320068,4000.0,49.67839813,5.835199356,299.6167603,0.386101753,7.0,-1.076648712
5429.0,1.0,1279.0,10497.21191,89.80905914,29.0,4.572000027,37.79520035,1000.0,46.67839813,7.578399658,256.5212708,0.369861484,7.0,-0.90447998
5430.0,1.0,1286.0,14193.32129,152.6676941,33.0,7.010400295,39.62400055,2000.0,43.66799927,4.043998718,300.0771484,0.752395868,3.0,1.276031494
5431.0,1.0,1288.0,12633.81445,246.9321136,39.0,3.657599926,26.51760101,8000.0,38.69520187,13.17759895,226.4256592,0.589962184,3.0,2.461606979
5432.0,1.0,1255.0,5825.234863,912.3968506,38.0,1.219200015,15.5447998,2000.0,41.04800034,21.50320053,251.8751526,0.839427173,3.0,-3.450716019
5433.0,1.0,1318.0,10969.85449,935.9356079,23.0,1.524000049,0.0,1000.0,14.46560001,20.46559906,223.0612488,0.646734953,7.0,-5.360198021
5434.0,1.0,1237.0,4281.389648,201.0165863,29.0,4.267199993,32.00400162,1000.0,39.36320114,7.663999557,287.6190491,1.702155352,3.0,-0.075305939
5435.0,1.0,1241.0,1513.6875,648.5507813,39.0,6.096000195,28.95600128,1000.0,54.84960175,22.89360046,259.1878967,0.329142541,3.0,9.771081924
5436.0,1.0,1231.0,8810.802734,363.0005188,36.0,10.36320019,28.04160118,1000.0,46.66799927,18.62639999,221.6318512,0.105872482,3.0,2.644845963
5437.0,1.0,1333.0,6051.328613,403.541687,16.0,3.657599926,0.0,1000.0,12.3423996,12.3423996,285.8597717,0.278090596,7.0,-0.562473297
5438.0,1.0,1289.0,15439.32715,241.3673248,37.0,5.486400127,39.31919861,8000.0,46.14400101,4.824800491,235.4211884,1.647551417,3.0,4.929784775
5439.0,1.0,1280.0,9759.207031,149.9024658,26.0,3.96239996,35.05200195,2000.0,42.76399994,4.711999893,330.21521,0.264068395,7.0,-3.930515289
5440.0,1.0,1280.0,10085.04102,149.9199829,27.0,5.181600094,42.97679901,1000.0,46.50720215,8.530399323,259.3477478,0.044380881,3.0,-0.763521194
5441.0,1.0,1280.0,10085.04102,161.3135986,27.0,4.572000027,42.97679901,1000.0,46.50720215,2.530399323,259.3477478,0.044380881,3.0,-0.763521194
5442.0,1.0,1285.0,17110.49414,284.1331787,47.0,10.66800022,28.65120125,1000.0,45.78079987,17.12960052,303.6693726,0.699824274,3.0,7.287387848
5443.0,1.0,1289.0,17197.81445,161.3000488,42.0,5.791200161,35.66160202,1000.0,47.4864006,12.43440056,238.3856659,0.879610121,3.0,1.03657341
5444.0,1.0,1261.0,1767.550293,246.916748,14.0,1.828799963,0.914399981,1000.0,17.96240044,18.04800034,341.9562988,0.272163063,4.0,-1.024392128
5445.0,1.0,1286.0,11159.46973,407.3161926,45.0,7.010400295,24.68880081,1000.0,42.56159973,17.87279892,239.6627655,0.554393411,3.0,9.508926392
5446.0,1.0,1271.0,7996.196289,359.2908325,27.0,0.914399981,19.50720024,1000.0,38.58240128,21.07519913,255.1313629,0.238211915,3.0,-0.50611496
5447.0,1.0,1333.0,2269.906738,329.3129272,9.0,1.219200015,0.0,1000.0,9.609600067,9.609600067,265.9275208,0.330563396,4.0,-0.082470894
5448.0,1.0,1239.0,6043.736816,572.0129395,47.0,0.304800004,37.79520035,1000.0,46.39039993,8.595199585,377.7226563,1.59897697,3.0,11.01754379
5449.0,1.0,1276.0,3036.975342,313.7565002,25.0,7.924799919,8.83920002,1000.0,33.53440094,23.69519997,313.1886292,0.385566175,7.0,3.203497887
5450.0,1.0,1282.0,12023.0498,133.986557,34.0,3.048000097,25.29840088,1000.0,37.6576004,9.359199524,268.4539795,0.427050263,7.0,-1.01855278
5451.0,1.0,1294.0,7400.044434,684.0007935,27.0,1.219200015,30.17519951,1000.0,48.03120041,15.85599995,435.4885254,0.504890323,3.0,4.446483612
